"乘客量 (以千人次計)"

"日期","高铁每月总量"
"二零二五年一月","2749"
"二零二四年十二月","2874"
"二零二四年十一月","2037"
"二零二四年十月","2230"
"二零二四年九月","1871"
"二零二四年八月","2703"
"二零二四年七月","2337"
"二零二四年六月","2046"
"二零二四年五月","1967"
"二零二四年四月","2118"
"二零二四年三月","2070"
"二零二四年二月","2357"
"二零二四年一月","2120"
"二零二三年十二月","2367"
"二零二三年十一月","1815"
"二零二三年十月","2055"
"二零二三年九月","1583"
"二零二三年八月","2495"
"二零二三年七月","2192"
"二零二三年六月","1610"
"二零二三年五月","1751"
"二零二三年四月","1979"
"二零二三年三月","1205"
"二零二三年二月","783"
"二零二三年一月","264"
"二零二二年十二月","-"
"二零二二年十一月","-"
"二零二二年十月","-"
"二零二二年九月","-"
"二零二二年八月","-"
"二零二二年七月","-"
"二零二二年六月","-"
"二零二二年五月","-"
"二零二二年四月","-"
"二零二二年三月","-"
"二零二二年二月","-"
"二零二二年一月","-"
"二零二一年十二月","-"
"二零二一年十一月","-"
"二零二一年十月","-"
"二零二一年九月","-"
"二零二一年八月","-"
"二零二一年七月","-"
"二零二一年六月","-"
"二零二一年五月","-"
"二零二一年四月","-"
"二零二一年三月","-"
"二零二一年二月","-"
"二零二一年一月","-"
"二零二零年十二月","-"
"二零二零年十一月","-"
"二零二零年十月","-"
"二零二零年九月","-"
"二零二零年八月","-"
"二零二零年七月","-"
"二零二零年六月","-"
"二零二零年五月","-"
"二零二零年四月","-"
"二零二零年三月","-"
"二零二零年二月","-"
"二零二零年一月","1033"
"二零一九年十二月","1141"
"二零一九年十一月","1059"
"二零一九年十月","1067"
"二零一九年九月","936"
"二零一九年八月","1144"
"二零一九年七月","1626"
"二零一九年六月","1494"
"二零一九年五月","1677"
"二零一九年四月","1770"
"二零一九年三月","1557"
"二零一九年二月","1740"
"二零一九年一月","1713"
"二零一八年十二月","1827"
"二零一八年十一月","1477"
"二零一八年十月","1629"
"二零一八年九月","369"
"二零一八年八月","-"
"二零一八年七月","-"
"二零一八年六月","-"
"二零一八年五月","-"
"二零一八年四月","-"
"二零一八年三月","-"
"二零一八年二月","-"
"二零一八年一月","-"
"二零一七年十二月","-"
"二零一七年十一月","-"
"二零一七年十月","-"
"二零一七年九月","-"
"二零一七年八月","-"
"二零一七年七月","-"

"(1) 港鐵本地服務包括荃灣綫、港島綫、南港島綫、觀塘綫、東涌綫、將軍澳綫、迪士尼綫、東鐵綫(不包括過境綫)及屯馬綫"
"(2) 高速鐵路(高鐵)於2018年9月23日投入服務。"
