表650-80003：按居住國家／地區劃分過夜旅客及入境不過夜旅客的境內消費開支,,,,,,,,,,
 ,,,,,,,,,,
 , ,境內消費開支,境內消費開支,境內消費開支,境內消費開支,境內消費開支,境內消費開支,境內消費開支,境內消費開支,境內消費開支
,,百萬港元,百萬港元,百萬港元,百萬港元,百萬港元,百萬港元,百萬港元,百萬港元,百萬港元
居住國家／地區 ,,美洲,歐洲、非洲及中東,澳大利亞、新西蘭及南太平洋,北亞 (1),南亞及東南亞 (2),中國內地,台灣,澳門／未能辨別,總計
旅客類別,年,,,,,,,,,
過夜旅客,2023,4771,5737,1738,3932,18003,80470,3136,1284,119070
入境不過夜旅客 (3),2023,265,271,65,216,462,19882,208,797,22164
 ,,,,,,,,,,
註釋：,,,,,,,,,,
有關居住國家／地區分類的詳情， 請參閱香港旅遊發展局網站內的季刊《與入境旅遊相關的消費》 （https://partnernet.hktb.com/tc/research_statistics/research_publications/index.html?id=4110）。,,,,,,,,,,
1 只包括日本及南韓。,,,,,,,,,,
2 包括日本、南韓、中國內地、台灣、澳門及香港以外的亞洲及印度次大陸國家／地區。,,,,,,,,,,
3 「入境不過夜旅客」的定義在2019年或以前是指通過香港入境處，但沒有在本港公眾或私人住宿設施過夜的旅客；該定義於2023年起修訂為通過香港入境處，但沒有在本港過夜的旅客。,,,,,,,,,,
 ,,,,,,,,,,
資料來源：,,,,,,,,,,
香港旅遊發展局,,,,,,,,,,
如欲獲取更多資料，請瀏覽香港旅遊發展局網站 (www.partnernet.hktb.com)。,,,,,,,,,,
(查詢電話：2807 6543,,,,,,,,,,
查詢電郵：research@hktb.com),,,,,,,,,,
 ,,,,,,,,,,
發布日期：2024年11月27日,,,,,,,,,,
