Date,CNY/HKD,rate_change,is_anomaly,year,month,quarter,month_over_month_change,year_over_year_change,data_type
2013-01-31,1.246500,,False,2013,1,1,,,历史数据
2013-02-28,1.245700,-0.000642,False,2013,2,1,-0.000642,,历史数据
2013-03-31,1.248700,0.002408,False,2013,3,1,0.002408,,历史数据
2013-04-30,1.258800,0.008088,False,2013,4,2,0.008088,,历史数据
2013-05-31,1.266200,0.005879,False,2013,5,2,0.005879,,历史数据
2013-06-30,1.257900,-0.006555,False,2013,6,2,-0.006555,,历史数据
2013-07-31,1.265200,0.005803,False,2013,7,3,0.005803,,历史数据
2013-08-31,1.253500,-0.009248,False,2013,8,3,-0.009248,,历史数据
2013-09-30,1.264400,0.008696,False,2013,9,3,0.008696,,历史数据
2013-10-31,1.272300,0.006248,False,2013,10,4,0.006248,,历史数据
2013-11-30,1.271600,-0.000550,False,2013,11,4,-0.000550,,历史数据
2013-12-31,1.279600,0.006291,False,2013,12,4,0.006291,,历史数据
2014-01-31,1.281200,0.001250,False,2014,1,1,0.001250,0.027838,历史数据
2014-02-28,1.266200,-0.011708,False,2014,2,1,-0.011708,0.016457,历史数据
2014-03-31,1.250400,-0.012478,False,2014,3,1,-0.012478,0.001361,历史数据
2014-04-30,1.238900,-0.009197,False,2014,4,2,-0.009197,-0.015809,历史数据
2014-05-31,1.240400,0.001211,False,2014,5,2,0.001211,-0.020376,历史数据
2014-06-30,1.245800,0.004353,False,2014,6,2,0.004353,-0.009619,历史数据
2014-07-31,1.255500,0.007786,False,2014,7,3,0.007786,-0.007667,历史数据
2014-08-31,1.251900,-0.002867,False,2014,8,3,-0.002867,-0.001276,历史数据
2014-09-30,1.262600,0.008547,False,2014,9,3,0.008547,-0.001424,历史数据
2014-10-31,1.268400,0.004594,False,2014,10,4,0.004594,-0.003065,历史数据
2014-11-30,1.260200,-0.006465,False,2014,11,4,-0.006465,-0.008965,历史数据
2014-12-31,1.250400,-0.007777,False,2014,12,4,-0.007777,-0.022820,历史数据
2015-01-31,1.241200,-0.007358,False,2015,1,1,-0.007358,-0.031221,历史数据
2015-02-28,1.236600,-0.003706,False,2015,2,1,-0.003706,-0.023377,历史数据
2015-03-31,1.249100,0.010108,False,2015,3,1,0.010108,-0.001040,历史数据
2015-04-30,1.250200,0.000881,False,2015,4,2,0.000881,0.009121,历史数据
2015-05-31,1.250000,-0.000160,False,2015,5,2,-0.000160,0.007739,历史数据
2015-06-30,1.248500,-0.001200,False,2015,6,2,-0.001200,0.002167,历史数据
2015-07-31,1.248500,0.000000,False,2015,7,3,0.000000,-0.005575,历史数据
2015-08-31,1.215500,-0.026432,False,2015,8,3,-0.026432,-0.029076,历史数据
2015-09-30,1.217700,0.001810,False,2015,9,3,0.001810,-0.035562,历史数据
2015-10-31,1.228501,0.008870,False,2015,10,4,0.008870,-0.031456,历史数据
