日期,年份,月份,季度,是否假期,访客人数,访客同比增长,演唱会场次,酒店房价,烟花表演,是否疫情期间,是否社会运动期间,人民币兑港币汇率
2015-11-30,2015,11,4,0,4748715.0,-10.4,3.0,1441,0.0,0,0,1.2127
2015-12-31,2015,12,4,0,5061064.0,-10.7,12.0,1454,1.0,0,0,1.1939
2016-01-31,2016,1,1,1,5225578.0,-6.8,9.0,1348,0.0,0,0,1.1782
2016-02-29,2016,2,1,1,4295731.0,-20.5,8.0,1265,1.0,0,0,1.1792
2016-03-31,2016,3,1,0,4213801.0,-4.3,12.0,1283,0.0,0,0,1.1992
2016-04-30,2016,4,2,0,4686316.0,-2.1,7.0,1354,0.0,0,0,1.1979
2016-05-31,2016,5,2,0,4453118.0,-6.4,10.0,1165,0.0,0,0,1.1803
2016-06-30,2016,6,2,0,4285730.0,-1.7,4.0,1133,0.0,0,0,1.1688
2016-07-31,2016,7,3,1,5049022.0,2.6,6.0,1146,0.0,0,0,1.1676
2016-08-31,2016,8,3,1,5086496.0,-9.4,15.0,1173,0.0,0,0,1.1591
2016-09-30,2016,9,3,0,4422441.0,-3.0,15.0,1243,0.0,0,0,1.1624
2016-10-31,2016,10,4,1,4953705.0,-2.4,7.0,1459,1.0,0,0,1.1499
2016-11-30,2016,11,4,0,4646938.0,-2.1,2.0,1415,0.0,0,0,1.124
2016-12-31,2016,12,4,0,5336027.0,5.4,21.0,1461,1.0,0,0,1.1132
2017-01-31,2017,1,1,1,5475176.0,4.8,16.0,1336,0.0,0,0,1.127
2017-02-28,2017,2,1,1,4181417.0,-2.7,5.0,1182,1.0,0,0,1.1295
2017-03-31,2017,3,1,0,4586186.0,8.8,3.0,1292,0.0,0,0,1.1277
2017-04-30,2017,4,2,0,4775834.0,1.9,3.0,1335,0.0,0,0,1.1249
2017-05-31,2017,5,2,0,4587014.0,3.0,12.0,1151,0.0,0,0,1.1365
2017-06-30,2017,6,2,0,4203256.0,-1.9,5.0,1105,0.0,0,0,1.1495
2017-07-31,2017,7,3,1,5167700.0,2.4,0.0,1145,0.0,0,0,1.1586
2017-08-31,2017,8,3,1,5023433.0,-1.2,15.0,1182,0.0,0,0,1.1862
2017-09-30,2017,9,3,0,4635161.0,4.8,12.0,1243,0.0,0,0,1.175268
2017-10-31,2017,10,4,1,5278677.0,6.6,10.0,1478,1.0,0,0,1.1738
2017-11-30,2017,11,4,0,4971119.0,7.0,5.0,1470,0.0,0,0,1.1814
2017-12-31,2017,12,4,0,5587184.0,4.7,13.0,1522,1.0,0,0,1.1968
2018-01-31,2018,1,1,1,5333562.0,-2.6,10.0,1323,0.0,0,0,1.2371
2018-02-28,2018,2,1,1,5280971.0,26.3,6.0,1357,0.0,0,0,1.2389
2018-03-31,2018,3,1,0,4995122.0,8.9,16.0,1433,0.0,0,0,1.2485
2018-04-30,2018,4,2,0,5301602.0,11.0,7.0,1456,0.0,0,0,1.2382
2018-05-31,2018,5,2,0,4953003.0,8.0,6.0,1212,0.0,0,0,1.222
2018-06-30,2018,6,2,0,4741779.0,12.8,10.0,1212,0.0,0,0,1.1841
2018-07-31,2018,7,3,1,5461222.0,5.7,26.0,1206,0.0,0,0,1.1512
2018-08-31,2018,8,3,1,5895951.0,17.4,11.0,1295,0.0,0,0,1.1468
2018-09-30,2018,9,3,0,4718536.0,1.8,9.0,1313,0.0,0,0,1.1404
2018-10-31,2018,10,4,1,5884512.0,11.5,0.0,1556,1.0,0,0,1.126
2018-11-30,2018,11,4,0,5995027.0,20.6,6.0,1564,0.0,0,0,1.1267
2018-12-31,2018,12,4,0,6586268.0,17.9,15.0,1578,1.0,0,0,1.1382
2019-01-31,2019,1,1,1,6784406.0,27.2,15.0,1345,0.0,0,0,1.1673
2019-02-28,2019,2,1,1,5589628.0,5.8,9.0,1378,1.0,0,0,1.1737
2019-03-31,2019,3,1,0,5860346.0,17.3,7.0,1456,0.0,0,0,1.1698
2019-04-30,2019,4,2,0,5577201.0,5.2,7.0,1391,0.0,0,0,1.1647
2019-05-31,2019,5,2,0,5916541.0,19.5,10.0,1246,0.0,0,0,1.1371
2019-06-30,2019,6,2,0,5143734.0,8.5,4.0,1159,0.0,0,1,1.1362
2019-07-31,2019,7,3,1,5196969.0,-4.8,13.0,1114,0.0,0,1,1.1362
2019-08-31,2019,8,3,1,3590571.0,-39.1,21.0,1061,0.0,0,1,1.098
