date,total arrivals,covid_period,social_movement
2013-01-01,4632926.0,0,0
2013-02-01,4022120.0,0,0
2013-03-01,4087286.0,0,0
2013-04-01,4279889.0,0,0
2013-05-01,4142301.0,0,0
2013-06-01,4201331.0,0,0
2013-07-01,4831521.0,0,0
2013-08-01,5358087.0,0,0
2013-09-01,4309304.0,0,0
2013-10-01,4632034.0,0,0
2013-11-01,4579681.0,0,0
2013-12-01,5222324.0,0,0
2014-01-01,5455371.0,0,0
2014-02-01,4417376.0,0,0
2014-03-01,4825234.0,0,0
2014-04-01,4747960.0,0,0
2014-05-01,4590579.0,0,0
2014-06-01,4492695.0,0,0
2014-07-01,5373518.0,0,0
2014-08-01,6009577.0,0,0
2014-09-01,4746782.0,0,0
2014-10-01,5213702.0,0,0
2014-11-01,5299680.0,0,0
2014-12-01,5666362.0,0,0
2015-01-01,5609698.0,0,0
2015-02-01,5405689.0,0,0
2015-03-01,4405298.0,0,0
2015-04-01,4789112.0,0,0
2015-05-01,4756215.0,0,0
2015-06-01,4361228.0,0,0
2015-07-01,4923431.0,0,0
2015-08-01,5614852.0,0,0
2015-09-01,4558800.0,0,0
2015-10-01,5073494.0,0,0
2015-11-01,4748715.0,0,0
2015-12-01,5061064.0,0,0
2016-01-01,5225578.0,0,0
2016-02-01,4295731.0,0,0
2016-03-01,4213801.0,0,0
2016-04-01,4686316.0,0,0
2016-05-01,4453118.0,0,0
2016-06-01,4285730.0,0,0
2016-07-01,5049022.0,0,0
2016-08-01,5086496.0,0,0
2016-09-01,4422441.0,0,0
2016-10-01,4953705.0,0,0
2016-11-01,4646938.0,0,0
2016-12-01,5336027.0,0,0
2017-01-01,5475176.0,0,0
2017-02-01,4181417.0,0,0
2017-03-01,4586186.0,0,0
2017-04-01,4775834.0,0,0
2017-05-01,4587014.0,0,0
2017-06-01,4203256.0,0,0
2017-07-01,5167700.0,0,0
2017-08-01,5023433.0,0,0
2017-09-01,4635161.0,0,0
2017-10-01,5278677.0,0,0
2017-11-01,4971119.0,0,0
2017-12-01,5587184.0,0,0
2018-01-01,5333562.0,0,0
2018-02-01,5280971.0,0,0
2018-03-01,4995122.0,0,0
2018-04-01,5301602.0,0,0
2018-05-01,4953003.0,0,0
2018-06-01,4741779.0,0,0
2018-07-01,5461222.0,0,0
2018-08-01,5895951.0,0,0
2018-09-01,4718536.0,0,0
2018-10-01,5884512.0,0,0
2018-11-01,5995027.0,0,0
2018-12-01,6586268.0,0,0
2019-01-01,6784406.0,0,0
2019-02-01,5589628.0,0,0
2019-03-01,5860346.0,0,0
2019-04-01,5577201.0,0,0
2019-05-01,5916541.0,0,0
2019-06-01,5143734.0,0,1
2019-07-01,5196969.0,0,1
2019-08-01,3590571.0,0,1
2019-09-01,3104049.0,0,1
2019-10-01,3311571.0,0,1
2019-11-01,2646127.0,0,1
2019-12-01,3191466.0,0,1
2020-01-01,3207802.0,0,1
2020-02-01,199123.0,1,0
2020-03-01,82285.0,1,0
2020-04-01,4125.0,1,0
2020-05-01,8139.0,1,0
2020-06-01,14606.0,1,0
2020-07-01,20568.0,1,0
2020-08-01,4449.0,1,0
2020-09-01,9132.0,1,0
2020-10-01,7817.0,1,0
2020-11-01,5962.0,1,0
2020-12-01,4867.0,1,0
2021-01-01,4368.0,1,0
2021-02-01,5495.0,1,0
2021-03-01,6675.0,1,0
2021-04-01,5706.0,1,0
2021-05-01,5305.0,1,0
2021-06-01,6200.0,1,0
2021-07-01,8666.0,1,0
2021-08-01,10811.0,1,0
2021-09-01,9879.0,1,0
2021-10-01,9353.0,1,0
2021-11-01,9492.0,1,0
2021-12-01,9448.0,1,0
2022-01-01,7064.0,1,0
2022-02-01,2626.0,1,0
2022-03-01,1800.0,1,0
2022-04-01,4692.0,1,0
2022-05-01,18710.0,1,0
2022-06-01,41112.0,1,0
2022-07-01,48048.0,1,0
2022-08-01,59610.0,1,0
2022-09-01,66037.0,1,0
2022-10-01,80524.0,1,0
2022-11-01,113763.0,1,0
2022-12-01,160578.0,1,0
2023-01-01,498689.0,1,0
2023-02-01,1461969.0,1,0
2023-03-01,2454093.0,0,0
2023-04-01,2892256.0,0,0
2023-05-01,2828384.0,0,0
2023-06-01,2748488.0,0,0
2023-07-01,3588530.0,0,0
2023-08-01,4077746.0,0,0
2023-09-01,2771826.0,0,0
2023-10-01,3458778.0,0,0
2023-11-01,3288915.0,0,0
2023-12-01,3929986.0,0,0
2024-01-01,3825617.0,0,0
2024-02-01,4001190.0,0,0
2024-03-01,3401991.0,0,0
2024-04-01,3391381.0,0,0
2024-05-01,3398458.0,0,0
2024-06-01,3132598.0,0,0
2024-07-01,3921630.0,0,0
2024-08-01,4453877.0,0,0
2024-09-01,3062003.0,0,0
2024-10-01,4090054.0,0,0
2024-11-01,3568437.0,0,0
2024-12-01,4255551.0,0,0
2025-01-01,4742066.0,0,0
