日期,演唱会场次,酒店房价,烟花表演,酒店入住率,旅游业收入,访客人数,高铁乘客量
2015-11-30,3,1441,0,83,20.0,4748715,
2015-12-31,12,1454,1,87,20.0,5061064,
2016-01-31,9,1348,0,84,20.83,5225578,
2016-02-29,8,1265,1,85,20.83,4295731,
2016-03-31,12,1283,0,86,20.83,4213801,
2016-04-30,7,1354,0,85,20.83,4686316,
2016-05-31,10,1165,0,84,20.83,4453118,
2016-06-30,4,1133,0,85,20.83,4285730,
2016-07-31,6,1146,0,87,20.83,5049022,
2016-08-31,15,1173,0,89,20.83,5086496,
2016-09-30,15,1243,0,86,20.83,4422441,
2016-10-31,7,1459,1,87,20.83,4953705,
2016-11-30,2,1415,0,85,20.83,4646938,
2016-12-31,21,1461,1,88,20.83,5336027,
2017-01-31,16,1336,0,85,19.0,5475176,
2017-02-28,5,1182,1,86,19.0,4181417,
2017-03-31,3,1292,0,87,19.0,4586186,
2017-04-30,3,1335,0,86,19.0,4775834,
2017-05-31,12,1151,0,85,19.0,4587014,
2017-06-30,5,1105,0,86,19.0,4203256,
2017-07-31,0,1145,0,88,19.0,5167700,
2017-08-31,15,1182,0,90,19.0,5023433,
2017-09-30,12,1243,0,87,19.0,4635161,
2017-10-31,10,1478,1,88,19.0,5278677,
2017-11-30,5,1470,0,86,19.0,4971119,
2017-12-31,13,1522,1,89,19.0,5587184,
2018-01-31,10,1323,0,86,21.05,5333562,
2018-02-28,6,1357,0,87,21.05,5280971,
2018-03-31,16,1433,0,88,21.05,4995122,
2018-04-30,7,1456,0,87,21.05,5301602,
2018-05-31,6,1212,0,86,21.05,4953003,
2018-06-30,10,1212,0,87,21.05,4741779,
2018-07-31,26,1206,0,89,21.05,5461222,
2018-08-31,11,1295,0,91,21.05,5895951,
2018-09-30,9,1313,0,88,21.05,4718536,369.0
2018-10-31,0,1556,1,89,21.05,5884512,1629.0
2018-11-30,6,1564,0,87,21.05,5995027,1477.0
2018-12-31,15,1578,1,90,21.05,6586268,1827.0
2019-01-31,15,1345,0,84,21.33,6784406,1713.0
2019-02-28,9,1378,1,85,21.33,5589628,1740.0
2019-03-31,7,1456,0,86,21.33,5860346,1557.0
2019-04-30,7,1391,0,85,21.33,5577201,1770.0
2019-05-31,10,1246,0,84,21.33,5916541,1677.0
2019-06-30,4,1159,0,85,21.33,5143734,1494.0
2019-07-31,13,1114,0,87,21.33,5196969,1626.0
2019-08-31,21,1061,0,89,21.33,3590571,1144.0
2019-09-30,2,1016,0,86,21.33,3104049,936.0
2019-10-31,4,1134,0,87,21.33,3311571,1067.0
2019-11-30,1,1119,0,85,21.33,2646127,1059.0
